n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
1,1,0.002902,0.0016,0.0015
1,1,0.002822,0.0015,0.0015
1,1,0.00279,0.0014,0.0014
1,1,0.00276,0.0015,0.0014
1,1,0.002791,0.0014,0.0014
1,1,0.002761,0.0015,0.0014
1,1,0.002771,0.0015,0.0014
1,1,0.002771,0.0014,0.0014
1,1,0.002771,0.0015,0.0015
1,1,0.002771,0.0014,0.0014
1,1,0.00275,0.0014,0.0014
1,1,0.002761,0.0015,0.0014
1,1,0.002761,0.0014,0.0014
1,1,0.00275,0.0015,0.0014
1,1,0.00275,0.0014,0.0014
1,1,0.002761,0.0015,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.00275,0.0015,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.00276,0.0015,0.0014
1,1,0.002761,0.0014,0.0014
1,1,0.002751,0.0015,0.0014
1,1,0.00275,0.0015,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.002761,0.0014,0.0015
1,1,0.00279,0.0015,0.0014
1,1,0.002771,0.0014,0.0014
1,1,0.00275,0.0015,0.0014
1,1,0.002791,0.0015,0.0015
1,1,0.00275,0.0014,0.0014
1,1,0.002791,0.0014,0.0014
1,1,0.002751,0.0015,0.0014
1,1,0.00276,0.0015,0.0014
1,1,0.002761,0.0014,0.0014
1,1,0.002751,0.0015,0.0014
1,1,0.002751,0.0015,0.0014
1,1,0.00276,0.0014,0.0014
1,1,0.00275,0.0015,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.003012,0.0015,0.0017
1,1,0.00277,0.0014,0.0014
1,1,0.002761,0.0015,0.0014
1,1,0.002781,0.0015,0.0015
1,1,0.002751,0.0014,0.0014
1,1,0.002751,0.0015,0.0014
1,1,0.00274,0.0014,0.0014
1,1,0.002751,0.0015,0.0014
1,1,0.00278,0.0015,0.0014
1,1,0.00274,0.0014,0.0014
1,1,0.00276,0.0015,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.002761,0.0015,0.0014
1,1,0.00275,0.0014,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.00275,0.0014,0.0014
1,1,0.00275,0.0014,0.0014
1,1,0.002851,0.0015,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.002751,0.0015,0.0014
1,1,0.002761,0.0015,0.0014
1,1,0.002761,0.0014,0.0015
1,1,0.002761,0.0014,0.0014
1,1,0.002751,0.0015,0.0014
1,1,0.00277,0.0015,0.0014
1,1,0.00276,0.0015,0.0014
1,1,0.00276,0.0015,0.0014
1,1,0.00276,0.0014,0.0014
1,1,0.002751,0.0015,0.0014
1,1,0.002771,0.0015,0.0014
1,1,0.00276,0.0014,0.0014
1,1,0.00274,0.0015,0.0014
1,1,0.00276,0.0014,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.00277,0.0014,0.0014
1,1,0.002761,0.0015,0.0014
1,1,0.002771,0.0015,0.0015
1,1,0.002771,0.0014,0.0014
1,1,0.003053,0.0016,0.0015
1,1,0.002821,0.0015,0.0015
1,1,0.00278,0.0015,0.0015
1,1,0.002761,0.0014,0.0014
1,1,0.002881,0.0015,0.0015
1,1,0.002781,0.0014,0.0014
1,1,0.002771,0.0014,0.0014
1,1,0.00276,0.0015,0.0014
1,1,0.002751,0.0015,0.0014
1,1,0.00275,0.0014,0.0014
1,1,0.002791,0.0015,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.002781,0.0015,0.0014
1,1,0.002761,0.0015,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.00277,0.0015,0.0014
1,1,0.002751,0.0015,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.00275,0.0015,0.0014
1,1,0.002761,0.0014,0.0014
1,1,0.002781,0.0014,0.0014
2,2,0.002721,0.0015,0.0015
2,2,0.002408,0.0012,0.0013
2,2,0.002418,0.0013,0.0013
2,2,0.002348,0.0012,0.0012
2,2,0.002367,0.0012,0.0012
2,2,0.002469,0.0014,0.0013
2,2,0.002539,0.0013,0.0013
2,2,0.002398,0.0013,0.0012
2,2,0.002398,0.0013,0.0012
2,2,0.002398,0.0013,0.0013
2,2,0.002619,0.0013,0.0013
2,2,0.002518,0.0012,0.0013
2,2,0.002368,0.0012,0.0012
2,2,0.002347,0.0012,0.0012
2,2,0.002357,0.0012,0.0012
2,2,0.002357,0.0013,0.0012
2,2,0.002408,0.0013,0.0012
2,2,0.002338,0.0012,0.0012
2,2,0.002348,0.0012,0.0011
2,2,0.003446,0.0019,0.0019
2,2,0.003123,0.0017,0.0016
2,2,0.003274,0.0018,0.0017
2,2,0.003103,0.0017,0.0016
2,2,0.003254,0.0017,0.0018
2,2,0.002691,0.0014,0.0014
2,2,0.002408,0.0013,0.0013
2,2,0.002347,0.0012,0.0012
2,2,0.002327,0.0012,0.0012
2,2,0.002337,0.0012,0.0012
2,2,0.002428,0.0013,0.0012
2,2,0.002337,0.0013,0.0012
2,2,0.002358,0.0012,0.0012
2,2,0.002338,0.0012,0.0012
2,2,0.002328,0.0012,0.0011
2,2,0.002348,0.0012,0.0012
2,2,0.002358,0.0012,0.0013
2,2,0.002358,0.0012,0.0012
2,2,0.002358,0.0013,0.0012
2,2,0.002337,0.0012,0.0012
2,2,0.002357,0.0012,0.0012
2,2,0.002348,0.0012,0.0012
2,2,0.002357,0.0013,0.0012
2,2,0.002338,0.0012,0.0011
2,2,0.002347,0.0012,0.0011
2,2,0.002337,0.0013,0.0012
2,2,0.002358,0.0012,0.0012
2,2,0.002348,0.0012,0.0012
2,2,0.002358,0.0012,0.0012
2,2,0.002347,0.0012,0.0012
2,2,0.002348,0.0013,0.0012
2,2,0.002347,0.0012,0.0012
2,2,0.002479,0.0014,0.0013
2,2,0.002358,0.0012,0.0012
2,2,0.002368,0.0013,0.0012
2,2,0.002367,0.0013,0.0013
2,2,0.002347,0.0012,0.0012
2,2,0.002368,0.0013,0.0012
2,2,0.002368,0.0013,0.0012
2,2,0.002338,0.0012,0.0012
2,2,0.002368,0.0013,0.0012
2,2,0.002358,0.0012,0.0012
2,2,0.002368,0.0013,0.0013
2,2,0.002348,0.0012,0.0012
2,2,0.002378,0.0013,0.0012
2,2,0.002368,0.0012,0.0012
2,2,0.002368,0.0012,0.0012
2,2,0.002367,0.0013,0.0012
2,2,0.002348,0.0013,0.0012
2,2,0.002337,0.0012,0.0012
2,2,0.002337,0.0012,0.0012
2,2,0.002347,0.0013,0.0012
2,2,0.002357,0.0012,0.0012
2,2,0.002428,0.0012,0.0012
2,2,0.002347,0.0013,0.0012
2,2,0.002337,0.0012,0.0012
2,2,0.002337,0.0012,0.0012
2,2,0.002357,0.0013,0.0012
2,2,0.002348,0.0012,0.0012
