n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
1,1,0.004534,0.0021,0.0018
1,1,0.003163,0.0018,0.0017
1,1,0.002942,0.0016,0.0016
1,1,0.002862,0.0015,0.0015
1,1,0.002801,0.0015,0.0014
1,1,0.00278,0.0015,0.0015
1,1,0.002781,0.0014,0.0014
1,1,0.002791,0.0015,0.0015
1,1,0.00277,0.0015,0.0014
1,1,0.002761,0.0015,0.0015
1,1,0.00275,0.0015,0.0014
1,1,0.00276,0.0015,0.0014
1,1,0.00275,0.0014,0.0014
1,1,0.002811,0.0015,0.0014
1,1,0.002761,0.0014,0.0014
1,1,0.002741,0.0015,0.0014
1,1,0.00276,0.0014,0.0014
1,1,0.00275,0.0015,0.0014
1,1,0.002761,0.0014,0.0014
1,1,0.002811,0.0016,0.0015
1,1,0.00276,0.0015,0.0014
1,1,0.002751,0.0015,0.0014
1,1,0.002771,0.0015,0.0014
1,1,0.002791,0.0015,0.0014
1,1,0.002902,0.0016,0.0015
1,1,0.003769,0.002,0.002
1,1,0.004,0.0019,0.002
1,1,0.005058,0.0029,0.0024
1,1,0.003486,0.0018,0.0018
1,1,0.003445,0.0018,0.0018
1,1,0.004171,0.0027,0.0016
1,1,0.003345,0.0018,0.0017
1,1,0.004192,0.0022,0.0021
1,1,0.003315,0.0019,0.0017
1,1,0.002801,0.0014,0.0014
1,1,0.002761,0.0014,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.002741,0.0015,0.0014
1,1,0.0028,0.0015,0.0014
1,1,0.002811,0.0015,0.0014
1,1,0.00274,0.0015,0.0014
1,1,0.00276,0.0014,0.0014
1,1,0.002751,0.0015,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.002751,0.0015,0.0015
1,1,0.002751,0.0015,0.0014
1,1,0.00276,0.0014,0.0014
1,1,0.002751,0.0015,0.0014
1,1,0.002751,0.0015,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.00275,0.0014,0.0014
1,1,0.002771,0.0014,0.0014
1,1,0.002751,0.0015,0.0013
1,1,0.002741,0.0014,0.0014
1,1,0.002741,0.0014,0.0014
1,1,0.002751,0.0015,0.0013
1,1,0.002771,0.0015,0.0014
1,1,0.002741,0.0014,0.0014
1,1,0.002741,0.0015,0.0014
1,1,0.002741,0.0015,0.0014
1,1,0.002741,0.0014,0.0014
1,1,0.002771,0.0014,0.0014
1,1,0.002771,0.0014,0.0014
1,1,0.002761,0.0015,0.0015
1,1,0.002741,0.0015,0.0014
1,1,0.002741,0.0015,0.0014
1,1,0.002741,0.0015,0.0014
1,1,0.00274,0.0014,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.002741,0.0014,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.002741,0.0015,0.0014
1,1,0.002761,0.0014,0.0014
1,1,0.002771,0.0014,0.0014
1,1,0.002771,0.0014,0.0014
1,1,0.002741,0.0014,0.0014
1,1,0.002741,0.0015,0.0014
1,1,0.00275,0.0014,0.0015
1,1,0.00275,0.0014,0.0014
1,1,0.002741,0.0014,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.002761,0.0014,0.0014
1,1,0.002781,0.0014,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.002761,0.0014,0.0014
1,1,0.002751,0.0014,0.0014
1,1,0.002751,0.0015,0.0014
1,1,0.002751,0.0015,0.0014
1,1,0.002761,0.0015,0.0014
1,1,0.002741,0.0014,0.0014
1,1,0.002771,0.0014,0.0014
1,1,0.002771,0.0014,0.0014
1,1,0.002741,0.0014,0.0014
1,1,0.002751,0.0015,0.0013
1,1,0.002771,0.0015,0.0015
1,1,0.00274,0.0014,0.0015
1,1,0.00275,0.0014,0.0014
1,1,0.002771,0.0014,0.0014
2,2,0.003013,0.0016,0.0015
2,2,0.002851,0.0015,0.0015
2,2,0.00274,0.0014,0.0014
2,2,0.00273,0.0014,0.0014
2,2,0.002711,0.0014,0.0014
2,2,0.00269,0.0015,0.0014
2,2,0.003012,0.0014,0.0015
2,2,0.002791,0.0014,0.0014
2,2,0.002731,0.0015,0.0014
2,2,0.00269,0.0014,0.0014
2,2,0.0027,0.0014,0.0014
2,2,0.0027,0.0015,0.0014
2,2,0.00271,0.0014,0.0014
2,2,0.00269,0.0014,0.0014
2,2,0.0027,0.0015,0.0014
2,2,0.00269,0.0015,0.0013
2,2,0.00269,0.0015,0.0014
2,2,0.00271,0.0014,0.0014
2,2,0.00269,0.0014,0.0014
2,2,0.00269,0.0014,0.0014
2,2,0.00271,0.0015,0.0014
2,2,0.00269,0.0014,0.0014
2,2,0.00269,0.0014,0.0014
2,2,0.0027,0.0014,0.0014
2,2,0.00269,0.0014,0.0014
2,2,0.00269,0.0015,0.0014
2,2,0.00269,0.0014,0.0014
2,2,0.00269,0.0014,0.0014
2,2,0.0027,0.0014,0.0014
2,2,0.00276,0.0015,0.0014
2,2,0.0027,0.0015,0.0013
2,2,0.002701,0.0014,0.0014
2,2,0.002691,0.0014,0.0014
2,2,0.002962,0.0015,0.0015
2,2,0.002691,0.0014,0.0014
2,2,0.002711,0.0015,0.0013
2,2,0.00268,0.0014,0.0014
2,2,0.00269,0.0014,0.0014
2,2,0.0027,0.0015,0.0014
2,2,0.0027,0.0014,0.0014
2,2,0.0027,0.0014,0.0014
2,2,0.00269,0.0014,0.0014
2,2,0.00271,0.0015,0.0014
2,2,0.00269,0.0015,0.0013
2,2,0.0027,0.0014,0.0014
2,2,0.002711,0.0015,0.0014
2,2,0.002701,0.0014,0.0014
2,2,0.002701,0.0014,0.0014
2,2,0.00269,0.0014,0.0014
2,2,0.008181,0.0059,0.0023
2,2,0.003678,0.002,0.0018
2,2,0.002801,0.0015,0.0014
2,2,0.002902,0.0016,0.0015
2,2,0.002741,0.0015,0.0015
2,2,0.0027,0.0014,0.0014
2,2,0.002771,0.0015,0.0014
2,2,0.00274,0.0014,0.0014
2,2,0.002761,0.0015,0.0015
2,2,0.00274,0.0015,0.0014
2,2,0.00275,0.0015,0.0014
2,2,0.00271,0.0015,0.0013
2,2,0.0027,0.0014,0.0014
2,2,0.0027,0.0014,0.0014
2,2,0.003094,0.0016,0.0017
2,2,0.002992,0.0016,0.0016
2,2,0.002972,0.0016,0.0015
2,2,0.002972,0.0015,0.0016
2,2,0.002982,0.0016,0.0016
2,2,0.003003,0.0016,0.0015
2,2,0.002942,0.0015,0.0015
2,2,0.002972,0.0016,0.0015
2,2,0.002972,0.0016,0.0015
2,2,0.002982,0.0016,0.0016
2,2,0.002962,0.0016,0.0015
2,2,0.002972,0.0016,0.0015
2,2,0.002962,0.0015,0.0016
2,2,0.003003,0.0016,0.0016
2,2,0.003002,0.0015,0.0016
2,2,0.002992,0.0016,0.0015
2,2,0.002952,0.0015,0.0015
2,2,0.002962,0.0016,0.0015
2,2,0.002982,0.0016,0.0015
2,2,0.002962,0.0016,0.0015
2,2,0.002992,0.0016,0.0015
2,2,0.003033,0.0016,0.0015
2,2,0.002398,0.0013,0.0012
2,2,0.002398,0.0013,0.0012
2,2,0.002357,0.0012,0.0012
2,2,0.002398,0.0013,0.0012
2,2,0.002378,0.0013,0.0012
2,2,0.002398,0.0012,0.0013
2,2,0.002368,0.0013,0.0012
