n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
1,1,3.50195,3.5356,3.5357
2,2,7.52895,7.6061,7.6076
3,6,10.5481,10.6594,10.6603
4,24,12.6684,12.8039,12.8042
5,120,15.8595,16.0047,16.005
6,720,22.7202,22.9195,22.9211
7,5040,21.9435,22.1384,22.1387
8,40320,24.5163,24.7328,24.7334
9,362880,27.9089,28.1566,28.157
10,3628800,32.561,32.8372,32.8375
11,39916800,49.6104,49.9664,49.9704
12,479001600,43.1471,43.396,43.3979
13,6227020800,44.2059,44.3588,44.3589
14,87178291200,55.4028,55.4955,55.4962
15,1307674368000,48.6895,48.629,48.6329
16,20922789888000,55.4432,55.2741,55.2753
17,355687428096000,59.5663,59.3214,59.3222
18,6402373705728000,62.2138,62.0589,62.0591
19,121645100408832000,59.3269,59.246,59.2494
20,2432902008176640000,78.603,78.3011,78.307
