n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
1,1,0.002821,0.0016,0.0015
1,1,0.002701,0.0015,0.0013
1,1,0.0027,0.0014,0.0014
1,1,0.00268,0.0014,0.0013
1,1,0.00269,0.0014,0.0014
1,1,0.00268,0.0014,0.0013
1,1,0.0027,0.0014,0.0014
1,1,0.00269,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0015,0.0013
1,1,0.002691,0.0014,0.0014
1,1,0.00267,0.0014,0.0013
1,1,0.002751,0.0015,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.002691,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.0027,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0014,0.0013
1,1,0.00268,0.0014,0.0014
1,1,0.002691,0.0014,0.0014
1,1,0.002942,0.0016,0.0016
1,1,0.002821,0.0014,0.0013
1,1,0.00275,0.0014,0.0014
1,1,0.00269,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.002701,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00271,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0015,0.0013
1,1,0.00268,0.0014,0.0014
1,1,0.002821,0.0015,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00269,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00269,0.0014,0.0014
1,1,0.002781,0.0014,0.0014
1,1,0.00268,0.0014,0.0013
1,1,0.00269,0.0015,0.0013
1,1,0.00267,0.0015,0.0013
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0015,0.0013
1,1,0.00268,0.0014,0.0013
1,1,0.00269,0.0014,0.0013
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0014,0.0013
1,1,0.002691,0.0014,0.0014
1,1,0.003022,0.0016,0.0015
1,1,0.00275,0.0014,0.0015
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.002701,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0014,0.0013
1,1,0.00267,0.0015,0.0013
1,1,0.00267,0.0014,0.0013
1,1,0.00267,0.0014,0.0014
1,1,0.00268,0.0014,0.0013
1,1,0.002691,0.0014,0.0013
1,1,0.00268,0.0014,0.0013
1,1,0.00268,0.0014,0.0014
1,1,0.00269,0.0015,0.0013
1,1,0.00268,0.0014,0.0013
1,1,0.00268,0.0014,0.0013
1,1,0.0027,0.0015,0.0013
1,1,0.00269,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0014,0.0013
1,1,0.002862,0.0014,0.0015
1,1,0.00268,0.0015,0.0013
1,1,0.00268,0.0014,0.0014
1,1,0.002681,0.0014,0.0014
1,1,0.00267,0.0014,0.0014
1,1,0.00269,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0014,0.0013
1,1,0.002892,0.0015,0.0013
1,1,0.002872,0.0015,0.0015
1,1,0.00268,0.0015,0.0013
1,1,0.00269,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.002861,0.0015,0.0014
1,1,0.00268,0.0014,0.0013
1,1,0.00272,0.0014,0.0014
1,1,0.0027,0.0014,0.0014
1,1,0.00269,0.0014,0.0014
1,1,0.00269,0.0014,0.0014
1,1,0.00268,0.0014,0.0014
1,1,0.00268,0.0014,0.0013
1,1,0.00269,0.0014,0.0014
2,1,0.002801,0.0016,0.0015
2,1,0.00265,0.0014,0.0013
2,1,0.002639,0.0014,0.0014
2,1,0.002619,0.0014,0.0013
2,1,0.00264,0.0014,0.0013
