n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
1,1,0.003228,0.0018,0.0017
2,1,0.003258,0.0018,0.0018
3,2,0.003208,0.0018,0.0017
4,3,0.004348,0.0026,0.0027
5,5,0.003339,0.0019,0.0018
6,8,0.004963,0.0029,0.0029
7,13,0.003743,0.0023,0.0022
8,21,0.004046,0.0027,0.0025
9,34,0.004489,0.0031,0.003
10,55,0.00572,0.0042,0.0042
11,89,0.005639,0.0044,0.0045
12,144,0.007455,0.0063,0.0062
13,233,0.010501,0.0093,0.0093
14,377,0.015293,0.0141,0.014
15,610,0.02308,0.0218,0.0217
16,987,0.035952,0.0345,0.0346
17,1597,0.068727,0.0668,0.067
18,2584,0.090314,0.0886,0.0885
19,4181,0.145069,0.143,0.1429
20,6765,0.246662,0.243,0.2436
