n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
1,1,3.9378,3.9768,3.9782
2,1,11.0822,11.199,11.2002
3,2,16.0593,16.2071,16.2071
4,3,32.6073,32.9586,32.9591
5,5,46.9043,47.3225,47.3228
6,8,81.3446,82.0714,82.0718
7,13,125.015,126.133,126.133
8,21,206.876,208.728,208.728
9,34,341.896,344.945,344.945
10,55,594.311,598.522,598.522
11,89,1010.52,1017,1017
12,144,1472.62,1479.71,1479.72
13,233,2643.98,2650.82,2650.82
14,377,4199.31,4199.9,4199.91
15,610,7005.16,6990.26,6990.26
16,987,11250.4,11210.9,11210.9
17,1597,17846.2,17892.4,17892.4
18,2584,28264,28270.8,28270.8
19,4181,46469.6,46429.5,46429.5
20,6765,74465.4,74501.4,74501.4
